ID;Title;Abstract
11;Video-Based Learning Recommender Systems: A Systematic Literature Review;"Recently, using videos as a learning resource has received a lot of attention and turned widely exploited as an effective learning tool. With the rapid spread of instructional videos, the number of these tools in all disciplines is becoming very high. It is fractious for learners to find video courses adapted to their needs. Recommender system is an important tool; it can help learners for better navigation and better guidance to access and reach information and interesting videos content and restrict the number of choices provided. This article presents results of a systematic literature review on video-based learning recommender systems. This systematic literature review included the papers indexed in five scientific digital libraries and published between 2009 and 2023. Our review focuses on examining both the technical and pedagogical aspects of video-based learning recommender systems. In terms of technical aspects, we analyze the most commonly used recommendation approaches in video-based learning, as well as additional methods and techniques employed to enhance the effectiveness of video-based learning recommendations. We also explore the variables and data sources that have been investigated in the process of recommending videos for learning purposes, along with the evaluation metrics used to assess the performance of these systems. Regarding the pedagogical aspects, we investigate the learning environments where these systems have been implemented, the subjects and educational programs that hold primary importance in video-based learning recommendations, and the overall learning process."
12;Recommender System Techniques and Approaches to Improve the Modern Learning Challenges;Recommendation systems have been developed from the web. These recommendation systems are useful in collecting information from an available set of sources for a user's preferences. The information can be acquired from user's collection of details to share, to review, to do positive ratings by monitoring the user's behavior to improve the quality of top `N' recommendations. Now if we come to modern learning system, it has good framework to influence the training factors from the data, triggers, and learner's preferences. Modern learning can be compared to online learning which carries to the future needs. Modern learning can be instituted in schools, engineering colleges, and working campus. The modern learning system combines interrelated data, processes, and resources to create a system of interdependencies that work together, adapting to changing business needs. These interdependencies include multi-level dynamics driven by the organization, training professionals, technological advances, and the learners themselves.
13;Learning actor ontology for a personalised recommendation in massive open online courses;Massive Open Online Courses revolutionised online learning and instigated research on information and communication technologies for learning to enhance the learner experience and increase his engagement level. In earlier research, we identified the recommendation criteria that could be used to recommend suitable MOOCs for the learner's needs and motivations. Thus, criteria like the level of knowledge, competences and the pace of learning introduced by MOOCs and preferred by learners will be matched by a personalised recommender system. In this paper, we model the Learning Actor ontology to be used for this matching process. It is a domain ontology that was developed by following the phases of the on-to-knowledge methodology: feasibility study, kickoff phase, refinement phase, evaluation and validation phase and, finally, the maintenance phase. At last, we obtained the learning ontology that describes the ``learning actor '' major class by using a complex definition of characteristics and their relationship and range of values.
14;Implementation of a Machine Learning-Based MOOC Recommender System Using Learner Motivation Prediction;phenomenon of high dropout rates has been the concern of MOOC providers and educators since the emergence of this disruptive technology in online learning. This led to the focus on learner motivation studies from different aspects like demotivation signs detection, learning path personalization and course recommendation. Our paper aims to predict learner motivation for MOOCs to select the right MOOC for the right learner. Accordingly, we predict the motivation in an educational data mining approach by extracting and preprocessing learners' navigation traces on a MOOC platform, and building a Machine Learning model that predicts accurately a given learner's motivation for a MOOC. The comparison of the performance of four supervised learning algorithms resulted in the selection of the Random Forest classifier as the best modeling technique for motivation prediction with an accuracy of 95\%. Afterward, we test the Machine Learning-based recommendation function for learners of the MOOC platform dataset to recommend the Top-10 MOOCs suitable for the target learner. Finally, further research on learner characteristics considered in recommender systems could enlarge the recommendation scope of MOOCs and maintain learner motivation.
15;Tracking English language learners' progress through a gamified social visualisation tool to increase motivation and performance;"Students need to monitor their progress constantly to improve their performance, and with large classes at university level education, both online and offline, most instructors are not able to provide individual students with progress reports other than separate assignments or exam results. Some e-learning systems track students' progress; however, these traditional personalised e-learning systems hide students' data; thus, students are not provided with the full picture of their progress and are unable to position themselves among their peers. This research aims to introduce a way to track English language learners' progress through an interactive gamified social visualisation tool in the form of a car race game without jeopardising student privacy or hiding crucial progress information. The results of this study showed that social comparison of students' progress and the gamification aspects of the tool made students more engaged and motivated to win the race, which affected their academic performance positively."
16;The Effect of Critical Reading Skills on the Evaluation Skills of the Creative Reading Process;"Purpose: To raise authentically creative individuals, it is compulsory to employ contemporary reading methods. Although critical reading, which is the main medium for accessing the right knowledge, is defined as a sub-category for creative reading in which high cognitive processes are involved, the connection between these has not been clearly put forward. This study aimed at examining the effect of critical reading skills of 5th grade learners on their evaluation skills of creative reading process, and the role of gender in this effect through structural equation modelling. Research Methods: The study was supported by relational screening model. The study group was formed by simple random sampling and composed of 265 5th grade learners. The data were collected through the Scale for the Evaluation of Creative Reading Process and the Critical Reading Scale. SPSS 23, AMOS 22.0, and structural equation modeling were utilized for data analysis. Maximum Likelihood method was selected in the estimation of parameters related to models which were formed for examining the effect of critical reading skills on the evaluation of creative reading process and the role of gender. To this end, fit indices (chi(2)/df, CFI, GFI, TLI, NFI, IFI, RMSEA, and SRMR) were used. Findings: The study demonstrated that all hypotheses models were valid; critical reading skills explained the evaluation skills of creative reading process by 57\%, and that they had a direct and strong impact on the evaluation skills of the critical reading process. In the female-learner model, critical reading skills affected the evaluation skills by 43\%, whereas the male-learner model explained this effect by 67\%. In addition, both models bear a direct and strong impact. Implications for Research and Practice: The results of the study reveal that critical reading skill is a significant predictor for the evaluation of the creative reading process. It can be stated that the evaluation skills of the creative reading process may improve in conjunction with the development of critical reading skills. (C) 2020 Ani Publishing Ltd. All rights reserved"
17;Building the Future of Education with Learning Analytics, Personalization and Collaboration An Interview with Dr Elvira Popescu;Embracing the future of education involves harnessing the power of learning analytics, personalization, and collaboration. Learning analytics enables educators to glean valuable insights from student data, tailors learning experiences to individual needs, and fosters interactive learning environments. Dr. Elvira Popescu is a distinguished Full Professor at the Computers and Information Technology Department, University of Craiova, Romania. Her extensive research portfolio encompasses technology- enhanced learning, adaptive educational systems, learner modeling, computer-supported collaborative learning, learning analytics, and intelligent and distributed computing.
18;Concept Maps and Open Learner Models in a Computer Networking Course;"Contribution: We explored the effects of using concept maps for the instruction of a college-level telecommunications course, as both the ``backbone '' structure of the traditional lectures and a navigational support feature within an online independent practice support system, on students' final learning gains and engagement with the learning content Background: The usage of concept maps as an instructional aid has proved beneficial across a range of disciplines; however, studies that support this in a computer science education context and by combining holistic data coming from both online activity logs and the physical classroom are scarce Research Question: How do students use concept maps to support their learning in a Telecommunications class and how do usage patterns correlate with their final learning and their perception of the usefulness of this educational tool? Methodology: We ran a three-year classroom experiment where we collected data from 1) interactions with the online concept map system and 2) their perceptions of the concept maps' usefulness and understandability. Regarding the experiment design, during lectures, the instructor used concept maps to highlight course concepts and their relationships. In the independent practice context, interactive concept maps helped students choose relevant practice content to work on and served as an OLM to visualize individual-and class-level progress in mastering course concepts Findings: We found that having access to concept maps that present a holistic view of course concepts in both study contexts improved students' ability to answer questions that required the application of conceptual knowledge. We also found that the use of the concept map system was correlated with an increase in students' positive perceptions of the usefulness of the intervention, both at a lecture level and at a practice level, but also with their actual engagement with working with the educational content offered by the learning platform."
19;Advances in personalised recommendation of learning objects based on the set covering problem using ontology;Loop-based intelligent tutoring systems (ITSs) support the learning process using a step-by-step problem-solving approach. A limitation of ITSs is that few contents are compatible with this approach. On the other hand, recommendation systems can recommend different types of content but ignore the fine-grained concepts typical of the step-by-step approach. This work contributes to the solution of this state-of-the-art challenge by proposing an approach for the recommendation of learning objects from different areas of knowledge, considering the refined concepts of ITSs. To deal with this challenge, we formulate the learning object recommendation problem as the set covering problem that belongs to the NP-hard class problems. An exact algorithm and a greedy heuristic were properly adapted, resulting in a promising approach to solve these problems, as shown by the results. This resulted in more personalised content for students using collaborative filtering and an ontology that models their knowledge, learning styles and search parameters.
20;Intelligent Chatbot-LDA Recommender System;With the proliferation of distance platforms, in particular that of an open access such as Massive Online Open Courses (MOOC), the learner finds himself overwhelmed with data which are not all efficient for his interest. Besides, the MOOC has tools that allow learners to seek information, express their ideas, and participate in discussions in an online forum. This tool is a huge repository of rich data, which continues to evolve, however its exploitation is fiddly in the search for information relevant to the learner. Similarly, the task of the tutor seems to be difficult in management of a large number of learners. To this end, the development of a Chatbot able to meet the requests of learners in a natural language is necessary to the deroulement a course in the MOOC. The ChatBot plays the role of assistant and guide for the learners and for the tutors. However, ChatBot responses come from a knowledge base, which must be relevant. Knowledge extraction to answer questions is a difficult task due to the number of MOOC participants. Learners' interactions with the MOOC platform generate massive information, particularly in discussion forums by seeking answers to their questions. Identifying and extracting knowledge from online forums requires collaborative interactions between learners. In this article we propose a new approach to answer learners' questions in a relevant and instantaneous way in a ChatBot in natural language. Our model is based on the LDA Bayesian statistical method, applied to threads posted in the forum and classifies them to provide the learner with a rich semantic response. These threads taken from the discussion forum in the form of knowledge will enrich the ChatBot knowledge database. In parallel, we will map the extracted knowledge to ontology, to provide the learner with pedagogical resources that will serve as learning support.
21;Adaptive Help System Based on Learners `Digital Traces' and Learning Styles;Learning management system (LMS) such as Claroline, Ganesha, Chamilo, Moodie, are commonly and well used in e-education (e-learning). Most of theTechnology Enhanced Learning (TEL) focus on supporting teachers in the creation and organization of online courses. However, in general, they do not consider individual differences of each learner. In addition, they do not provide enough indicators which will help to track the learners. In this paper, we investigate the benefits of integrating learning styles in the Web-based educational systems. Also, we are interested in the use of interaction traces in order to address the lack of feedback between the learner and the teacher. Generally, we aim to offer a tool that allows the tutor and the instructional designer to interpret learner courses, in order to provide help as needed for each individual.
22;Investigating the Use of Deep Learning and Implicit Feedback in K12 Educational Recommender Systems;Recommender systems are increasingly being used in university or online education. However, recommender systems still have not found major usage in K12 education. This may be because of the unique challenges that recommender systems face when used by a young and diverse population. However, recommender systems for K12 education could provide many benefits for students and teachers, such as the simplification of personalized learning. Some of the issues with K12 educational recommender systems may be solved by the use of deep learning and implicit feedback. As such, we investigated the use of deep recommendation algorithms and implicit feedback for K12 educational recommender systems. To do this, we compared metrics for highly cited traditional and deep recommendation algorithms trained on explicit and implicit data. We found that recommendation algorithms using deep learning as a group do not differ in performance compared to traditional recommendation algorithms. We also found that the use of implicit feedback led to higher performance than using explicit feedback. The best performing algorithm used both deep learning and implicit feedback. We conclude that deep learning can be a benefit for K12 recommender systems, particularly when the ordered sequence of items is carefully accounted for. We also conclude that researchers and developers must carefully consider which feedback contributes the most information for learning.
23;Personalization of serious games for learning;Purpose The purpose of this paper is to present principles for personalization of both learning content and gameplay in serious games for learning, which are based on a combined model of the student that comprises user, learner and player-related aspects of the student's profile. Each of the considered user, learner and player sub-models has a static and dynamic group of characteristics. These characteristics assist general approaches for learning mazes game personalization applied to embedded mini-games (designed as information units, learning objects and educational tasks) so that to be adjustable and to enable learners to acquire knowledge more effectively. Design/methodology/approach A student modelling approach was applied to design the personalization of learning content in the educational maze game and each of them contained mini-games. To evaluate the student's preferences about the types of mini-games and ways of their personalization depending on individual and group student characteristics, the authors conducted an online survey. Findings This study presents examples of personalization of four types of mini-games available in maze halls, namely, question, searching, arranging and action games. Next, the research discusses findings from an online survey aiming at the evaluation of the preferred types of mini-games and the way of their personalization. There are analysed results concerning the impact of the student model characteristics on the preferred ways of personalization in educational maze games, together with criteria for personalization of educational resources according to student's level of knowledge, age, goals and learning style. Research limitations/implications A significant limitation of the research is the relatively small number of survey participants and the lack of studying the impact of learning and playing styles over game personalization. Another limitation of the study is the inclusion of only some of the mini-games within the demonstration maze, which respondents play before answering the survey questions. Originality/value This paper presents original research on the personalization of educational maze game based on a model of the student profile that comprises both static and dynamic properties reflecting user, learner and player-related aspects of the student character, together with results obtained from an online survey.
24;Context-aware recommender system for adaptive ubiquitous learning;The use of context-aware recommender systems for adaptive ubiquitous learning has become a promising and interesting research direction in recent years, both as a result of the vast use of ubiquitous devices in our day-to-day lives and because of students' increasing desire to learn with ease anytime and anywhere without restriction. This paper implements an RFID-based context-aware technology and recommender system for adaptive ubiquitous learning that will help learners to achieve personalised learning goals and greater learning efficiency. Our context-aware recommender suggests courseware to students based on their location, surrounding noise level and time of day. Radio Frequency Identification (RFID) technology was used to acquire context awareness, and fuzzy logic was employed to develop courseware recommendations. The front end of the system was developed using Android Studio. Experimental results were obtained from selected students from different disciplines who evaluated the system.
25;An Intelligent Recommender System for Personalized Test Administration Scheduling With Computerized Formative Assessments;The introduction of computerized formative assessments in schools has enabled the monitoring of students' progress with more flexible test schedules. Currently, the timing and frequency of computerized formative assessments are determined based on districts and school authorities' agreements with testing organizations, the teachers' judgment of students' progress, and grade-level testing guidelines recommended by researchers. However, these practices often result in a rigid test scheduling that disregards the pace at which students acquire knowledge. Furthermore, students are likely to experience the loss of instructional time due to frequent testing. To administer computerized formative assessments efficiently, teachers should be provided systematic guidance on finding an optimal testing schedule based on each student's progress. In this study, we aim to demonstrate the utility of intelligent recommender systems (IRSs) for generating individualized test schedules for students. Using real data from a large sample of students in grade 2 (n = 355,078) and grade 4 (n = 390,336) who completed the Star Math assessment during the 2017-2018 school year, we developed an IRS and evaluated its performance in finding a balance between data quality and testing frequency. Results indicated that the IRS was able to recommend a fewer number of test administrations for both grade levels, compared with standard practice. Further, the IRS was able to maximize the score difference from one test administration to another by eliminating the test administrations in which students' scores did not change significantly. Implications for generating personalized schedules to monitor student progress and recommendations for future research are discussed.
26;Modified recommender system model for the utilized eLearning platform;The recommender system has been designed to impose a degree of order into the content management of e-courses accompanying subjects on geography, history and culture of English-speaking countries within the Management of Tourism bachelor study programme. The article discusses blended learning form of education with a focus on an innovative approach to content creation and a recommender system of learning material in e-courses. These two interconnected parts of e-courses are analysed on both a theoretical and practical basis resulting in the design of a recommender system model reflecting technical specifications of established learning management system at the university. The effort of educators to enhance students' learning performance is run via active involvement of students into the process of education by means of creation, presentation and evaluation of study materials. This approach is based on elaborated guiding in the virtual space, in utilizing proper tools for communication, navigation and evaluation of students' presentations. The evaluation of students' presentations is made in the virtual space and also during face-to-face classes, for it is the inseparable part of the recommender system and as a whole corresponds to the blended learning concept. The pilot stage of implementation of the recommender system was tested during the last academic year. Students welcomed the new approach, earlier some students felt limited by time and others by lack of knowledge to evaluate which material is worth studying. Appropriateness of the model was demonstrated by reduced failure rate at the final tests.
27;Prerequisites-based course recommendation: recommending learning objects using concept prerequisites and metadata matching;"The recommendation is an active area of scientific research; it is also a challenging and fundamental problem in online education. However, classical recommender systems usually suffer from item cold-start issues. Besides, unlike other fields like e-commerce or entertainment, e-learning recommendations must ensure that learners have the adequate background knowledge to cognitively receive the recommended learning objects. For that reason, when designing an efficient e-learning recommendation method, these challenges should be considered. To address those issues, in this paper, we first propose extracting pairs concept prerequisites using Linked Open Data (LOD). Then, we evaluate the proposed list of prerequisite relationships using machine learning predictive models. Then, we present the recommendation approach based on matching concept's prerequisites relation and courses metadata through a similarity score. The experimental result of prerequisite identification was evaluated using four well-known machine learning algorithms while achieving an accuracy of 90\%. Moreover, using three known evaluation metrics, the final prerequisite-based recommendation demonstrates very good results (NDCG@10 = 86\%). This solution will enhance recommendations on online learning platforms. Additionally, it will overcome the cold-start issue and accomplish the needed prerequisites and background knowledge for learners to attain their learning objectives."
28;The Educational Recommendation System with Artificial Intelligence Chatbot: A Case Study in Thailand;The educational recommendation system with an artificial intelligence (AI) chatbot is a sys - tem designed to operate on smartphones and is intended for use at the College of Industrial Technology in Thailand. Compatible with both iOS and Android operating systems, the edu - cational recommendation system in this research is capable of providing educational rec - ommendations and valuable information about the engineering degree program. It includes information about the Electronics Engineering Technology Department, relevant bodies of knowledge that can enhance awareness and public relations, and a proactive introduction to information. The main objectives of this study are to develop the capacity to analyze edu - cational issues and provide useful and accurate information for educational recommenda - tions, as well as to explore the possibilities for enhancing this system. The results of the study address the three research questions and demonstrate that the process and structure of the educational recommendation system with an AI chatbot can be utilized to create educational recommendation tools in higher education. These tools are accessible anywhere and at any time through small mobile devices. The system is also compatible with popular social media applications and is capable of analyzing user questions precisely and accurately to find the optimal answers that can meet the user's needs. However, there are still gaps in the research that need to be investigated in the future. These studies should include exploring a broader range of applications among the general population and educational settings to assess the effectiveness of the educational recommendation system with an AI chatbot. Additionally, they should examine the skills that impact the utilization of educational technology in various contexts.
29;Identifying student help-seeking behavior patterns and help-seeking tendencies from student problem-solving and help-seeking behavior data: An educational data mining approach;Studies have shown that students have different help-seeking behavior patterns and tendencies and furthermore, that students with certain help-seeking behavior patterns and tendencies may have poor performance (i.e., at-risk students). This study applied an educational data mining approach, including clustering and classification, to analyze students' problem-solving and help-seeking data in a computer assisted learning system to identify student help-seeking behavior patterns and tendencies. First, nine observable problem-solving and help-seeking features for identifying help-seeking behavior patterns were established. Second, this study applied the k-means clustering method and identified three well-known help-seeking behavior patterns: executive, avoidant, and instrumental help-seeking. The results further identified two new help-seeking behavior patterns. One was static instrumental help-seeking and the other was static instrumental and executive help-seeking. Third, executive help-seeking and static instrumental and executive help-seeking patterns could be used as at-risk predicators of poor performance. Fourth, the study applied clustered and identified results to build a minimum distance classifier to identify help-seeking behavior patterns in new data. The study also investigated the accuracy of the classifier in early identifying help-seeking behavior patterns from early-stage data. The early identification accuracy was 61\% for the first three minutes and 75\% for the seven-minutes of early-stage data, respectively. Fifth, this study identified three help-seeking tendencies: independent problem-solvers, executive help-seekers, and static instrumental and executive help-seekers. In summary, the study showed the feasibility and effectiveness of applying an educational data mining approach, including clustering and classification, to build data-driven student models to identify student help-seeking behavior patterns and tendencies.
